asset_id,employee_id,asset_type,asset_name,issue_date,warranty_expiry,status
IT00001,TN0001,Headset,Logitech H390,2025-11-19,2026-11-19,Assigned
IT00002,TN0002,Headset,Jabra Evolve 20,2026-01-25,2027-01-25,Assigned
IT00003,TN0003,Keyboard,Logitech K120,2025-06-12,2028-06-11,Assigned
IT00004,TN0004,Keyboard,Logitech K120,2025-04-10,2026-04-10,Assigned
IT00005,TN0005,Mouse,Logitech M185,2025-02-25,2026-02-25,Assigned
IT00006,TN0006,Laptop,MacBook Air M2,2025-03-11,2026-03-11,Assigned
IT00007,TN0007,Monitor,LG 24-inch,2025-04-01,2026-04-01,Assigned
IT00008,TN0008,Headset,Logitech H390,2025-02-16,2028-02-16,Assigned
IT00009,TN0009,Keyboard,Dell KB216,2025-08-21,2027-08-21,Assigned
IT00010,TN0010,Mouse,Dell MS116,2025-12-06,2027-12-06,Assigned
IT00011,TN0011,Monitor,Dell 24-inch,2024-05-27,2027-05-27,Assigned
IT00012,TN0012,Mouse,Logitech M185,2025-12-29,2027-12-29,Assigned
IT00013,TN0013,Headset,Jabra Evolve 20,2025-06-25,2026-06-25,Assigned
IT00014,TN0014,Mouse,Logitech M185,2025-04-29,2026-04-29,Assigned
IT00015,TN0015,Headset,Logitech H390,2025-01-13,2026-01-13,Assigned
IT00016,TN0016,Laptop,Lenovo ThinkPad E14,2024-05-03,2026-05-03,Assigned
IT00017,TN0017,Laptop,Dell Latitude 5440,2025-06-19,2026-06-19,Assigned
IT00018,TN0018,Keyboard,Dell KB216,2024-11-08,2026-11-08,Assigned
IT00019,TN0019,Keyboard,Logitech K120,2025-05-12,2026-05-12,Assigned
IT00020,TN0020,Monitor,Dell 24-inch,2025-08-26,2027-08-26,Assigned
IT00021,TN0021,Keyboard,Logitech K120,2024-10-17,2025-10-17,Assigned
IT00022,TN0022,Mouse,Dell MS116,2024-01-03,2025-01-02,Assigned
IT00023,TN0023,Laptop,MacBook Air M2,2024-02-15,2026-02-14,Assigned
IT00024,TN0024,Headset,Logitech H390,2024-11-13,2027-11-13,Assigned
IT00025,TN0025,Keyboard,Dell KB216,2026-03-11,2028-03-10,Assigned
IT00026,TN0026,Headset,Logitech H390,2024-05-15,2025-05-15,Assigned
IT00027,TN0027,Mouse,Logitech M185,2025-11-14,2027-11-14,Assigned
IT00028,TN0028,Keyboard,Dell KB216,2024-04-01,2027-04-01,Assigned
IT00029,TN0029,Mouse,Dell MS116,2024-08-26,2026-08-26,Assigned
IT00030,TN0030,Headset,Logitech H390,2024-02-16,2027-02-15,Assigned
IT00031,TN0031,Keyboard,Logitech K120,2025-10-23,2026-10-23,Assigned
IT00032,TN0032,Laptop,Lenovo ThinkPad E14,2025-08-08,2028-08-07,Assigned
IT00033,TN0033,Headset,Jabra Evolve 20,2025-10-22,2026-10-22,Assigned
IT00034,TN0034,Monitor,Samsung 27-inch,2025-09-25,2028-09-24,Assigned
IT00035,TN0035,Laptop,HP EliteBook 840,2025-08-06,2028-08-05,Assigned
IT00036,TN0036,Mouse,Logitech M185,2025-05-29,2026-05-29,Assigned
IT00037,TN0037,Headset,Logitech H390,2024-07-03,2025-07-03,Assigned
IT00038,TN0038,Monitor,Samsung 27-inch,2024-09-08,2027-09-08,Assigned
IT00039,TN0039,Mouse,Dell MS116,2024-03-27,2027-03-27,Assigned
IT00040,TN0040,Mouse,Dell MS116,2025-08-26,2026-08-26,Assigned
IT00041,TN0041,Laptop,HP EliteBook 840,2024-12-14,2026-12-14,Assigned
IT00042,TN0042,Mouse,Dell MS116,2024-01-25,2027-01-24,Assigned
IT00043,TN0043,Mouse,Logitech M185,2024-09-20,2025-09-20,Assigned
IT00044,TN0044,Laptop,Lenovo ThinkPad E14,2025-07-08,2026-07-08,Assigned
IT00045,TN0045,Monitor,Dell 24-inch,2024-07-06,2026-07-06,Assigned
IT00046,TN0046,Monitor,Samsung 27-inch,2024-11-10,2026-11-10,Assigned
IT00047,TN0047,Monitor,LG 24-inch,2024-03-01,2027-03-01,Assigned
IT00048,TN0048,Monitor,Dell 24-inch,2024-01-28,2027-01-27,Assigned
IT00049,TN0049,Keyboard,Dell KB216,2025-02-03,2026-02-03,Assigned
IT00050,TN0050,Monitor,LG 24-inch,2025-02-26,2027-02-26,Assigned
IT00051,TN0051,Mouse,Logitech M185,2024-05-03,2025-05-03,Assigned
IT00052,TN0052,Monitor,Samsung 27-inch,2026-02-09,2029-02-08,Assigned
IT00053,TN0053,Monitor,Samsung 27-inch,2025-05-19,2028-05-18,Assigned
IT00054,TN0054,Mouse,Logitech M185,2024-04-27,2026-04-27,Assigned
IT00055,TN0055,Keyboard,Dell KB216,2025-04-20,2028-04-19,Assigned
IT00056,TN0056,Laptop,MacBook Air M2,2025-05-10,2026-05-10,Assigned
IT00057,TN0057,Monitor,Samsung 27-inch,2024-01-20,2026-01-19,Assigned
IT00058,TN0058,Headset,Jabra Evolve 20,2025-11-22,2026-11-22,Assigned
IT00059,TN0059,Headset,Logitech H390,2025-10-29,2026-10-29,Assigned
IT00060,TN0060,Headset,Jabra Evolve 20,2025-02-20,2027-02-20,Assigned
IT00061,TN0061,Headset,Logitech H390,2024-07-27,2025-07-27,Assigned
IT00062,TN0062,Headset,Logitech H390,2024-06-21,2025-06-21,Assigned
IT00063,TN0063,Headset,Jabra Evolve 20,2025-04-07,2026-04-07,Assigned
IT00064,TN0064,Mouse,Logitech M185,2025-09-27,2027-09-27,Assigned
IT00065,TN0065,Laptop,Lenovo ThinkPad E14,2024-03-02,2026-03-02,Assigned
IT00066,TN0066,Headset,Logitech H390,2024-09-13,2027-09-13,Assigned
IT00067,TN0067,Keyboard,Dell KB216,2025-10-09,2026-10-09,Assigned
IT00068,TN0068,Laptop,Dell Latitude 5440,2024-06-14,2027-06-14,Assigned
IT00069,TN0069,Keyboard,Logitech K120,2024-04-01,2026-04-01,Assigned
IT00070,TN0070,Monitor,LG 24-inch,2026-01-12,2029-01-11,Assigned
IT00071,TN0071,Mouse,Dell MS116,2024-08-03,2027-08-03,Assigned
IT00072,TN0072,Keyboard,Dell KB216,2025-10-12,2027-10-12,Assigned
IT00073,TN0073,Keyboard,Dell KB216,2024-09-08,2027-09-08,Assigned
IT00074,TN0074,Keyboard,Dell KB216,2024-08-03,2026-08-03,Assigned
IT00075,TN0075,Laptop,Dell Latitude 5440,2025-12-09,2026-12-09,Assigned
IT00076,TN0076,Headset,Jabra Evolve 20,2025-05-02,2026-05-02,Assigned
IT00077,TN0077,Monitor,Samsung 27-inch,2025-02-27,2028-02-27,Assigned
IT00078,TN0078,Mouse,Logitech M185,2026-02-19,2028-02-19,Assigned
IT00079,TN0079,Laptop,MacBook Air M2,2025-07-05,2026-07-05,Assigned
IT00080,TN0080,Laptop,Lenovo ThinkPad E14,2024-12-27,2026-12-27,Assigned
IT00081,TN0081,Mouse,Logitech M185,2024-06-30,2027-06-30,Assigned
IT00082,TN0082,Laptop,HP EliteBook 840,2025-04-18,2027-04-18,Assigned
IT00083,TN0083,Mouse,Logitech M185,2024-01-10,2025-01-09,Assigned
IT00084,TN0084,Keyboard,Dell KB216,2025-11-27,2028-11-26,Assigned
IT00085,TN0085,Monitor,Samsung 27-inch,2024-04-02,2027-04-02,Assigned
IT00086,TN0086,Keyboard,Logitech K120,2026-01-05,2027-01-05,Assigned
IT00087,TN0087,Mouse,Dell MS116,2025-01-06,2026-01-06,Assigned
IT00088,TN0088,Mouse,Logitech M185,2025-12-21,2028-12-20,Assigned
IT00089,TN0089,Laptop,MacBook Air M2,2024-07-19,2027-07-19,Assigned
IT00090,TN0090,Laptop,MacBook Air M2,2024-10-11,2027-10-11,Assigned
IT00091,TN0091,Monitor,Samsung 27-inch,2025-07-19,2026-07-19,Assigned
IT00092,TN0092,Headset,Jabra Evolve 20,2025-11-19,2028-11-18,Assigned
IT00093,TN0093,Laptop,Dell Latitude 5440,2025-08-25,2026-08-25,Assigned
IT00094,TN0094,Monitor,Dell 24-inch,2024-09-22,2027-09-22,Assigned
IT00095,TN0095,Headset,Jabra Evolve 20,2026-01-16,2028-01-16,Assigned
IT00096,TN0096,Laptop,Lenovo ThinkPad E14,2025-12-10,2028-12-09,Assigned
IT00097,TN0097,Headset,Logitech H390,2025-04-09,2026-04-09,Assigned
IT00098,TN0098,Laptop,MacBook Air M2,2024-11-26,2026-11-26,Assigned
IT00099,TN0099,Keyboard,Dell KB216,2024-05-04,2027-05-04,Assigned
IT00100,TN0100,Mouse,Logitech M185,2025-01-05,2028-01-05,Assigned
IT00101,TN0101,Monitor,LG 24-inch,2024-02-18,2026-02-17,Assigned
IT00102,TN0102,Headset,Jabra Evolve 20,2025-04-04,2027-04-04,Assigned
IT00103,TN0103,Mouse,Logitech M185,2024-07-18,2026-07-18,Assigned
IT00104,TN0104,Headset,Jabra Evolve 20,2024-01-26,2027-01-25,Assigned
IT00105,TN0105,Mouse,Logitech M185,2024-03-17,2025-03-17,Assigned
IT00106,TN0106,Monitor,Dell 24-inch,2024-12-03,2026-12-03,Assigned
IT00107,TN0107,Laptop,MacBook Air M2,2024-01-29,2026-01-28,Assigned
IT00108,TN0108,Laptop,Lenovo ThinkPad E14,2025-08-29,2028-08-28,Assigned
IT00109,TN0109,Keyboard,Dell KB216,2024-09-10,2025-09-10,Assigned
IT00110,TN0110,Monitor,LG 24-inch,2024-12-14,2025-12-14,Assigned
IT00111,TN0111,Headset,Logitech H390,2024-08-30,2025-08-30,Assigned
IT00112,TN0112,Laptop,Dell Latitude 5440,2025-10-02,2027-10-02,Assigned
IT00113,TN0113,Laptop,MacBook Air M2,2024-03-03,2025-03-03,Assigned
IT00114,TN0114,Keyboard,Logitech K120,2025-12-11,2026-12-11,Assigned
IT00115,TN0115,Laptop,Lenovo ThinkPad E14,2025-03-28,2026-03-28,Assigned
IT00116,TN0116,Headset,Jabra Evolve 20,2025-10-03,2027-10-03,Assigned
IT00117,TN0117,Laptop,Dell Latitude 5440,2025-11-24,2026-11-24,Assigned
IT00118,TN0118,Keyboard,Logitech K120,2025-01-25,2027-01-25,Assigned
IT00119,TN0119,Headset,Jabra Evolve 20,2026-02-09,2028-02-09,Assigned
IT00120,TN0120,Headset,Jabra Evolve 20,2025-11-06,2028-11-05,Assigned
IT00121,TN0121,Mouse,Dell MS116,2025-01-28,2027-01-28,Assigned
IT00122,TN0122,Headset,Logitech H390,2025-09-26,2026-09-26,Assigned
IT00123,TN0123,Laptop,Lenovo ThinkPad E14,2025-04-09,2028-04-08,Assigned
IT00124,TN0124,Headset,Jabra Evolve 20,2024-07-16,2025-07-16,Assigned
IT00125,TN0125,Laptop,Dell Latitude 5440,2025-09-01,2028-08-31,Assigned
IT00126,TN0126,Headset,Jabra Evolve 20,2024-07-17,2027-07-17,Assigned
IT00127,TN0127,Headset,Logitech H390,2024-09-19,2026-09-19,Assigned
IT00128,TN0128,Mouse,Dell MS116,2026-01-12,2029-01-11,Assigned
IT00129,TN0129,Monitor,Dell 24-inch,2024-09-05,2025-09-05,Assigned
IT00130,TN0130,Laptop,MacBook Air M2,2024-05-10,2026-05-10,Assigned
IT00131,TN0131,Headset,Logitech H390,2025-10-29,2027-10-29,Assigned
IT00132,TN0132,Headset,Jabra Evolve 20,2025-07-08,2026-07-08,Assigned
IT00133,TN0133,Mouse,Dell MS116,2024-11-12,2027-11-12,Assigned
IT00134,TN0134,Keyboard,Logitech K120,2025-01-12,2026-01-12,Assigned
IT00135,TN0135,Laptop,Dell Latitude 5440,2024-08-31,2027-08-31,Assigned
IT00136,TN0136,Mouse,Logitech M185,2024-12-18,2025-12-18,Assigned
IT00137,TN0137,Monitor,Dell 24-inch,2024-03-11,2026-03-11,Assigned
IT00138,TN0138,Mouse,Dell MS116,2025-12-12,2028-12-11,Assigned
IT00139,TN0139,Headset,Logitech H390,2025-12-10,2027-12-10,Assigned
IT00140,TN0140,Headset,Logitech H390,2024-11-02,2026-11-02,Assigned
IT00141,TN0141,Monitor,Dell 24-inch,2024-04-17,2026-04-17,Assigned
IT00142,TN0142,Mouse,Logitech M185,2024-08-12,2025-08-12,Assigned
IT00143,TN0143,Monitor,Dell 24-inch,2025-04-22,2028-04-21,Assigned
IT00144,TN0144,Monitor,LG 24-inch,2025-05-07,2028-05-06,Assigned
IT00145,TN0145,Mouse,Logitech M185,2024-07-29,2026-07-29,Assigned
IT00146,TN0146,Laptop,Dell Latitude 5440,2025-01-06,2026-01-06,Assigned
IT00147,TN0147,Keyboard,Logitech K120,2024-01-31,2027-01-30,Assigned
IT00148,TN0148,Monitor,Dell 24-inch,2024-10-24,2026-10-24,Assigned
IT00149,TN0149,Headset,Jabra Evolve 20,2026-02-22,2028-02-22,Assigned
IT00150,TN0150,Laptop,Lenovo ThinkPad E14,2024-07-22,2025-07-22,Assigned
IT00151,TN0151,Monitor,Samsung 27-inch,2024-08-12,2026-08-12,Assigned
IT00152,TN0152,Monitor,Dell 24-inch,2024-12-13,2027-12-13,Assigned
IT00153,TN0153,Monitor,Dell 24-inch,2024-07-19,2025-07-19,Assigned
IT00154,TN0154,Keyboard,Logitech K120,2024-04-13,2025-04-13,Assigned
IT00155,TN0155,Mouse,Dell MS116,2025-11-01,2026-11-01,Assigned
IT00156,TN0156,Monitor,Dell 24-inch,2024-11-08,2026-11-08,Assigned
IT00157,TN0157,Keyboard,Logitech K120,2025-01-16,2028-01-16,Assigned
IT00158,TN0158,Headset,Jabra Evolve 20,2025-09-30,2027-09-30,Assigned
IT00159,TN0159,Laptop,HP EliteBook 840,2024-05-27,2025-05-27,Assigned
IT00160,TN0160,Monitor,Samsung 27-inch,2025-06-29,2027-06-29,Assigned
IT00161,TN0161,Keyboard,Dell KB216,2024-11-21,2027-11-21,Assigned
IT00162,TN0162,Monitor,Samsung 27-inch,2024-02-17,2027-02-16,Assigned
IT00163,TN0163,Monitor,Dell 24-inch,2025-07-02,2027-07-02,Assigned
IT00164,TN0164,Keyboard,Dell KB216,2024-09-10,2025-09-10,Assigned
IT00165,TN0165,Monitor,LG 24-inch,2025-06-04,2028-06-03,Assigned
IT00166,TN0166,Monitor,LG 24-inch,2026-01-14,2027-01-14,Assigned
IT00167,TN0167,Headset,Logitech H390,2024-03-07,2025-03-07,Assigned
IT00168,TN0168,Headset,Logitech H390,2025-01-18,2027-01-18,Assigned
IT00169,TN0169,Monitor,LG 24-inch,2024-11-25,2027-11-25,Assigned
IT00170,TN0170,Headset,Logitech H390,2025-12-12,2027-12-12,Assigned
IT00171,TN0171,Mouse,Dell MS116,2024-10-01,2027-10-01,Assigned
IT00172,TN0172,Headset,Jabra Evolve 20,2025-10-27,2026-10-27,Assigned
IT00173,TN0173,Monitor,Dell 24-inch,2024-07-26,2026-07-26,Assigned
IT00174,TN0174,Mouse,Dell MS116,2024-08-11,2026-08-11,Assigned
IT00175,TN0175,Mouse,Dell MS116,2025-08-08,2026-08-08,Assigned
IT00176,TN0176,Keyboard,Logitech K120,2025-07-17,2026-07-17,Assigned
IT00177,TN0177,Laptop,Lenovo ThinkPad E14,2024-10-29,2026-10-29,Assigned
IT00178,TN0178,Monitor,LG 24-inch,2025-08-20,2026-08-20,Assigned
IT00179,TN0179,Headset,Logitech H390,2025-09-28,2027-09-28,Assigned
IT00180,TN0180,Mouse,Dell MS116,2025-04-23,2027-04-23,Assigned
IT00181,TN0181,Keyboard,Dell KB216,2025-05-24,2027-05-24,Assigned
IT00182,TN0182,Mouse,Dell MS116,2024-01-26,2025-01-25,Assigned
IT00183,TN0183,Monitor,Dell 24-inch,2024-09-28,2027-09-28,Assigned
IT00184,TN0184,Keyboard,Logitech K120,2024-03-25,2026-03-25,Assigned
IT00185,TN0185,Keyboard,Logitech K120,2024-08-21,2025-08-21,Assigned
IT00186,TN0186,Laptop,HP EliteBook 840,2025-01-03,2026-01-03,Assigned
IT00187,TN0187,Keyboard,Dell KB216,2024-07-20,2027-07-20,Assigned
IT00188,TN0188,Keyboard,Dell KB216,2024-11-05,2027-11-05,Assigned
IT00189,TN0189,Monitor,Dell 24-inch,2025-12-23,2028-12-22,Assigned
IT00190,TN0190,Headset,Logitech H390,2024-09-24,2025-09-24,Assigned
IT00191,TN0191,Keyboard,Dell KB216,2024-12-20,2026-12-20,Assigned
IT00192,TN0192,Headset,Jabra Evolve 20,2026-02-14,2029-02-13,Assigned
IT00193,TN0193,Mouse,Logitech M185,2025-10-31,2028-10-30,Assigned
IT00194,TN0194,Mouse,Logitech M185,2024-08-21,2025-08-21,Assigned
IT00195,TN0195,Mouse,Dell MS116,2024-08-27,2027-08-27,Assigned
IT00196,TN0196,Mouse,Dell MS116,2024-12-14,2025-12-14,Assigned
IT00197,TN0197,Monitor,LG 24-inch,2025-03-15,2028-03-14,Assigned
IT00198,TN0198,Monitor,Samsung 27-inch,2025-03-25,2027-03-25,Assigned
