expense_id,employee_id,date,category,amount,status
EXP00001,TN0407,2026-03-06,Meals,312.71,Approved
EXP00002,TN0467,2026-03-08,Cab,1061.88,Rejected
EXP00003,TN0208,2026-04-21,Train,477.7,Rejected
EXP00004,TN0061,2026-05-17,Hotel,6203.1,Rejected
EXP00005,TN0033,2026-07-13,Internet,1378.41,Rejected
EXP00006,TN0435,2026-01-19,Train,4669.02,Approved
EXP00007,TN0149,2026-07-21,Internet,952.03,Approved
EXP00008,TN0145,2026-07-15,Cab,1046.32,Rejected
EXP00009,TN0016,2026-05-02,Flight,10768.75,Approved
EXP00010,TN0383,2026-04-11,Office Supplies,4048.18,Rejected
EXP00011,TN0152,2026-09-03,Internet,716.11,Rejected
EXP00012,TN0455,2026-08-23,Office Supplies,4375.55,Rejected
EXP00013,TN0192,2026-09-03,Hotel,5517.49,Rejected
EXP00014,TN0073,2026-02-01,Hotel,1239.23,Rejected
EXP00015,TN0202,2026-05-18,Meals,1715.17,Pending
EXP00016,TN0108,2026-07-11,Internet,1855.32,Pending
EXP00017,TN0109,2026-04-16,Internet,1777.19,Approved
EXP00018,TN0083,2026-02-17,Flight,12061.72,Pending
EXP00019,TN0100,2026-01-30,Flight,12900.16,Rejected
EXP00020,TN0437,2026-01-14,Office Supplies,3829.9,Rejected
EXP00021,TN0237,2026-06-15,Meals,317.03,Rejected
EXP00022,TN0035,2026-03-06,Hotel,2739.86,Rejected
EXP00023,TN0250,2026-09-01,Train,2042.84,Rejected
EXP00024,TN0336,2026-03-02,Hotel,3424.07,Approved
EXP00025,TN0461,2026-02-19,Train,2634.96,Pending
EXP00026,TN0316,2026-06-18,Train,3589.91,Approved
EXP00027,TN0290,2026-05-26,Train,4115.42,Pending
EXP00028,TN0087,2026-01-02,Train,1532.41,Approved
EXP00029,TN0365,2026-07-09,Internet,1154.19,Pending
EXP00030,TN0069,2026-06-23,Internet,997.34,Pending
EXP00031,TN0237,2026-04-25,Train,3963.93,Pending
EXP00032,TN0283,2026-01-28,Flight,12506.05,Approved
EXP00033,TN0431,2026-03-13,Office Supplies,4184.29,Rejected
EXP00034,TN0101,2026-03-09,Internet,1829.5,Approved
EXP00035,TN0373,2026-01-20,Hotel,7826.78,Rejected
EXP00036,TN0016,2026-07-28,Meals,1126.24,Rejected
EXP00037,TN0109,2026-08-21,Hotel,5502.43,Rejected
EXP00038,TN0458,2026-05-19,Cab,1686.68,Approved
EXP00039,TN0188,2026-04-11,Flight,16317.28,Rejected
EXP00040,TN0376,2026-08-08,Train,1015.85,Rejected
EXP00041,TN0262,2026-01-24,Cab,1005.08,Approved
EXP00042,TN0340,2026-03-03,Office Supplies,4830.8,Rejected
EXP00043,TN0351,2026-02-12,Office Supplies,2716.44,Pending
EXP00044,TN0082,2026-02-15,Meals,1717.94,Rejected
EXP00045,TN0447,2026-09-05,Flight,13906.76,Pending
EXP00046,TN0481,2026-04-02,Hotel,2906.79,Pending
EXP00047,TN0119,2026-01-17,Train,2099.4,Approved
EXP00048,TN0343,2026-02-22,Meals,1652.36,Pending
EXP00049,TN0199,2026-05-01,Cab,2221.65,Approved
EXP00050,TN0333,2026-03-24,Hotel,6689.14,Rejected
