employee_id,casual_leave,earned_leave,sick_leave,wfh_days_used
TN0001,11,6,5,0
TN0002,8,19,5,8
TN0003,5,6,4,8
TN0004,6,12,7,5
TN0005,5,14,4,8
TN0006,5,18,6,4
TN0007,2,10,8,8
TN0008,9,6,7,6
TN0009,10,15,8,6
TN0010,4,14,8,2
TN0011,10,20,5,3
TN0012,6,9,9,0
TN0013,10,18,8,8
TN0014,10,9,8,3
TN0015,6,11,7,1
TN0016,9,16,3,8
TN0017,5,6,6,6
TN0018,12,6,3,3
TN0019,11,11,9,3
TN0020,7,14,2,3
TN0021,5,8,9,3
TN0022,11,11,8,3
TN0023,10,15,6,6
TN0024,9,16,6,4
TN0025,7,20,9,1
TN0026,9,15,5,5
TN0027,7,18,2,3
TN0028,4,5,6,8
TN0029,11,18,6,2
TN0030,5,15,5,6
TN0031,11,12,9,8
TN0032,12,15,6,7
TN0033,12,20,9,2
TN0034,7,10,4,8
TN0035,9,10,10,0
TN0036,10,6,3,0
TN0037,2,18,4,3
TN0038,3,9,2,3
TN0039,10,19,7,0
TN0040,11,20,9,0
TN0041,2,18,2,0
TN0042,10,13,10,4
TN0043,2,18,4,1
TN0044,3,9,5,3
TN0045,11,13,7,4
TN0046,8,7,7,6
TN0047,9,12,5,4
TN0048,12,7,2,1
TN0049,8,17,8,8
TN0050,9,6,2,2
TN0051,3,20,8,5
TN0052,11,8,10,0
TN0053,5,11,9,4
TN0054,2,7,6,8
TN0055,11,6,4,5
TN0056,2,11,4,6
TN0057,3,14,4,3
TN0058,11,17,10,5
TN0059,8,9,3,8
TN0060,7,6,3,6
TN0061,5,7,7,6
TN0062,7,5,6,7
TN0063,9,12,7,8
TN0064,8,18,4,6
TN0065,3,14,5,1
TN0066,3,13,4,6
TN0067,12,9,8,5
TN0068,7,8,3,0
TN0069,6,19,7,4
TN0070,3,9,3,2
TN0071,8,19,10,8
TN0072,10,18,3,0
TN0073,3,16,10,1
TN0074,11,15,8,0
TN0075,6,18,8,1
TN0076,10,12,10,2
TN0077,12,17,4,2
TN0078,6,14,6,7
TN0079,4,7,4,6
TN0080,6,18,6,7
TN0081,3,16,6,3
TN0082,12,20,5,7
TN0083,3,9,6,0
