request_id,employee_id,leave_type,start_date,end_date,status,reason
LR00001,TN0457,Earned Leave,2026-02-16,2026-02-18,Pending,
LR00002,TN0225,Casual Leave,2026-06-18,2026-06-19,Pending,
LR00003,TN0182,Casual Leave,2026-07-11,2026-07-12,Approved,
LR00004,TN0453,Casual Leave,2026-08-11,2026-08-13,Pending,
LR00005,TN0098,Casual Leave,2026-03-14,2026-03-14,Approved,
LR00006,TN0216,Casual Leave,2026-07-10,2026-07-11,Pending,
LR00007,TN0342,Sick Leave,2026-02-20,2026-02-21,Approved,
LR00008,TN0061,Sick Leave,2026-04-18,2026-04-19,Approved,
LR00009,TN0410,Casual Leave,2026-06-24,2026-06-26,Approved,
LR00010,TN0385,Sick Leave,2026-07-15,2026-07-16,Rejected,
LR00011,TN0473,Casual Leave,2026-07-09,2026-07-10,Pending,
LR00012,TN0491,Casual Leave,2026-01-28,2026-01-28,Pending,
LR00013,TN0177,Sick Leave,2026-05-09,2026-05-09,Pending,
LR00014,TN0027,Earned Leave,2026-06-23,2026-06-24,Rejected,
LR00015,TN0378,Earned Leave,2026-01-03,2026-01-04,Approved,
LR00016,TN0145,Earned Leave,2026-05-05,2026-05-05,Pending,
LR00017,TN0317,Sick Leave,2026-02-09,2026-02-11,Pending,
LR00018,TN0128,Earned Leave,2026-03-13,2026-03-13,Rejected,
LR00019,TN0127,Casual Leave,2026-06-20,2026-06-21,Approved,
LR00020,TN0362,Sick Leave,2026-07-20,2026-07-20,Rejected,
LR00021,TN0258,Casual Leave,2026-06-06,2026-06-06,Rejected,
LR00022,TN0323,Casual Leave,2026-06-12,2026-06-12,Pending,
LR00023,TN0068,Earned Leave,2026-04-13,2026-04-13,Pending,
LR00024,TN0476,Casual Leave,2026-02-07,2026-02-08,Rejected,
LR00025,TN0103,Earned Leave,2026-01-24,2026-01-24,Approved,
LR00026,TN0269,Sick Leave,2026-03-20,2026-03-22,Pending,
LR00027,TN0114,Earned Leave,2026-03-28,2026-03-29,Pending,
LR00028,TN0262,Casual Leave,2026-04-20,2026-04-22,Approved,
LR00029,TN0057,Earned Leave,2026-03-10,2026-03-11,Approved,
LR00030,TN0365,Earned Leave,2026-04-18,2026-04-18,Pending,
LR00031,TN0094,Casual Leave,2026-01-11,2026-01-11,Rejected,
LR00032,TN0382,Earned Leave,2026-03-24,2026-03-24,Approved,
LR00033,TN0144,Casual Leave,2026-08-21,2026-08-23,Approved,
LR00034,TN0095,Earned Leave,2026-03-06,2026-03-07,Approved,
LR00035,TN0156,Sick Leave,2026-01-29,2026-01-29,Pending,
LR00036,TN0350,Earned Leave,2026-05-22,2026-05-22,Approved,
LR00037,TN0380,Sick Leave,2026-07-27,2026-07-28,Rejected,
LR00038,TN0271,Casual Leave,2026-06-04,2026-06-05,Rejected,
LR00039,TN0142,Earned Leave,2026-02-23,2026-02-25,Pending,
LR00040,TN0455,Sick Leave,2026-01-28,2026-01-28,Rejected,
LR00041,TN0309,Sick Leave,2026-01-31,2026-01-31,Rejected,
LR00042,TN0419,Sick Leave,2026-02-18,2026-02-18,Approved,
LR00043,TN0474,Sick Leave,2026-01-26,2026-01-26,Rejected,
LR00044,TN0176,Earned Leave,2026-03-19,2026-03-21,Pending,
LR00045,TN0274,Casual Leave,2026-07-04,2026-07-04,Pending,
LR00046,TN0099,Sick Leave,2026-04-18,2026-04-20,Approved,
LR00047,TN0457,Earned Leave,2026-08-13,2026-08-15,Approved,
LR00048,TN0230,Casual Leave,2026-06-11,2026-06-13,Approved,
LR00049,TN0035,Sick Leave,2026-05-04,2026-05-05,Rejected,
LR00050,TN0405,Sick Leave,2026-01-06,2026-01-06,Approved,
LR00051,TN0357,Earned Leave,2026-09-05,2026-09-05,Pending,
LR00052,TN0490,Sick Leave,2026-05-25,2026-05-25,Pending,
LR00053,TN0380,Earned Leave,2026-07-28,2026-07-29,Rejected,
LR00054,TN0273,Casual Leave,2026-08-11,2026-08-13,Pending,
LR00055,TN0225,Earned Leave,2026-07-12,2026-07-14,Rejected,
LR00056,TN0400,Sick Leave,2026-04-10,2026-04-11,Approved,
LR00057,TN0106,Casual Leave,2026-02-17,2026-02-17,Rejected,
LR00058,TN0112,Casual Leave,2026-06-01,2026-06-03,Rejected,
LR00059,TN0234,Sick Leave,2026-05-09,2026-05-11,Rejected,
LR00060,TN0133,Earned Leave,2026-03-19,2026-03-19,Rejected,
LR00061,TN0138,Casual Leave,2026-05-22,2026-05-22,Pending,
LR00062,TN0024,Earned Leave,2026-05-17,2026-05-17,Pending,
LR00063,TN0328,Casual Leave,2026-02-07,2026-02-08,Approved,
LR00064,TN0448,Sick Leave,2026-07-22,2026-07-22,Pending,
LR00065,TN0422,Casual Leave,2026-02-23,2026-02-25,Pending,
LR00066,TN0333,Sick Leave,2026-03-30,2026-04-01,Approved,
LR00067,TN0167,Sick Leave,2026-01-22,2026-01-24,Approved,
